"item","freq","year_q1","year_med","year_q3"
"BIOENERGY STRATEGIES",1,2022,2022,2022
"BIOFERTILIZERS",1,2025,2025,2025
"BIOFILM GROWTH",1,2025,2025,2025
"BIOFUEL POLICIES",1,2018,2018,2018
"BIOFUEL SUPPLY CHAINS",1,2021,2021,2021
"BIOGAS SLURRY",1,2016,2016,2016
"BIOGENIC",1,2023,2023,2023
"BIOGENIC CARBON",1,2023,2023,2023
"BIOGENIC EMISSION",1,2023,2023,2023
"BIOHAZARDS",1,2016,2016,2016
"BIOHYDROGEN",1,2019,2019,2019
"BIOHYDROGEN PRODUCTION",1,2023,2023,2023
"BIOKEROSENE",1,2024,2024,2024
"BIOLOGICAL INVASION",1,2012,2012,2012
"BIOLOGICAL OXYGEN DEMAND",1,2022,2022,2022
"BIOLOGICAL PATHWAYS",1,2020,2020,2020
"BIOLOGICAL PRODUCT",1,2019,2019,2019
"BIOLOGICAL PRODUCTS",1,2019,2019,2019
"BIOLOGICAL TECHNOLOGY",1,2022,2022,2022
"BIOMASS-BASED FUELS",1,2022,2022,2022
"BIOMASS GASIFICATION",1,2013,2013,2013
"BIOMASS GENERATION",1,2020,2020,2020
"BIOMASS MATERIALS",1,2022,2022,2022
"BIOMASS SUPPLY CHAIN",1,2021,2021,2021
"BIOMASS TECHNOLOGIES",1,2022,2022,2022
"BIOMASS VALORIZATION",1,2022,2022,2022
"BIOPOLYMER",1,2022,2022,2022
"BIOPROCESS DEVELOPMENT",1,2022,2022,2022
"BIOREACTOR DESIGN",1,2023,2023,2023
"BIOREFINERY",1,2025,2025,2025
"BIOREFINERY CONCEPT",1,2018,2018,2018
"BIOREFINERY FEEDSTOCKS",1,2019,2019,2019
"BIOREFINERY PROCESS",1,2021,2021,2021
"BIOREFINERY PRODUCTS",1,2021,2021,2021
"BIOREFINING",1,2010,2010,2010
"BIOSAFETY",1,2016,2016,2016
"BIOSEQUESTRATION",1,2018,2018,2018
"BIOTECHNOLOGICAL APPLICATIONS",1,2015,2015,2015
"BIOTECHNOLOGICAL PRODUCTION",1,2020,2020,2020
"BOD BIOLOGICAL OXYGEN DEMAND",1,2022,2022,2022
"BORON",1,2022,2022,2022
"BOTRYOCOCCUS",1,2023,2023,2023
"BOTRYOCOCCUS-BRAUNII",1,2025,2025,2025
"BR BORON",1,2022,2022,2022
"BRACKISH WATER",1,2012,2012,2012
"BTEX: BENZENE TOLUENE, ETHYLBENZENE, AND XYLENE",1,2022,2022,2022
"BULK LIPIDS",1,2011,2011,2011
"BUTANOL",1,2020,2020,2020
"BUTANOL PRODUCTION",1,2019,2019,2019
"BYPRODUCT",1,2020,2020,2020
"C.I. ENGINE",1,2024,2024,2024
"CARBOHYDRATE ANALYSIS",1,2019,2019,2019
"CARBOHYDRATES",1,2012,2012,2012
"CARBON-DIOXIDE EXTRACTION",1,2020,2020,2020
"CARBON BALANCE",1,2013,2013,2013
"CARBON CAPTURE AND UTILIZATION",1,2024,2024,2024
"CARBON CONCENTRATING MECHANISM",1,2022,2022,2022
"CARBON DIOXIDE CONCENTRATIONS",1,2017,2017,2017
"CARBON DIOXIDE MITIGATION",1,2016,2016,2016
"CARBON ECONOMY",1,2023,2023,2023
"CARBON EMISSIONS",1,2023,2023,2023
"CARBON EMISSIONS REDUCTIONS",1,2017,2017,2017
"CARBON MITIGATION",1,2022,2022,2022
"CARBON MONOXIDE",1,2019,2019,2019
"CARBON NEUTRAL BIODIESEL",1,2022,2022,2022
"CARBON NEUTRALITY",1,2022,2022,2022
"CARBON NEUTRALIZATION",1,2022,2022,2022
"CARBON SOLUTIONS",1,2025,2025,2025
"CARBON SOURCE",1,2023,2023,2023
"CARBON STORAGE",1,2019,2019,2019
"CARBONACEOUS ADSORBENTS",1,2025,2025,2025
"CARBONACEOUS MATERIALS",1,2025,2025,2025
"CARBONATE DEHYDRATASE",1,2023,2023,2023
"CARBONIZATION",1,2025,2025,2025
"CARBOXYLATE",1,2015,2015,2015
"CARBOXYLATE PLATFORMS",1,2015,2015,2015
"CARBOXYLATION",1,2015,2015,2015
"CASSAVA WASTEWATER",1,2022,2022,2022
"CATERING SERVICE",1,2013,2013,2013
"CELL COMPOSITION",1,2019,2019,2019
"CELL CONCENTRATIONS",1,2011,2011,2011
"CELL CULTURE",1,2009,2009,2009
"CELL CULTURE TECHNIQUES",1,2012,2012,2012
"CELL DISRUPTION TECHNIQUE",1,2024,2024,2024
"CELL MEMBRANES",1,2009,2009,2009
"CELL PROLIFERATION",1,2022,2022,2022
"CELL TRANSFORMATION",1,2011,2011,2011
"CELLS, IMMOBILIZED",1,2018,2018,2018
"CELLULOSE",1,2021,2021,2021
"CEMENTS",1,2022,2022,2022
"CHANG-PING YU",1,2025,2025,2025
"CHARCOAL",1,2022,2022,2022
"CHEMICAL COMPOUND",1,2019,2019,2019
"CHEMICAL CONTAMINATION",1,2017,2017,2017
"CHEMICAL GENETICS",1,2024,2024,2024
"CHEMICAL MODIFICATION",1,2021,2021,2021
"CHEMICAL REACTION",1,2023,2023,2023
"CHLAMYDOMONAS",1,2023,2023,2023
"CHLORELLA PYRENOIDOSA",1,2023,2023,2023
"CHLORELLA SP",1,2022,2022,2022
"CI ENGINE",1,2024,2024,2024
"CIRCULAR CARBON ECONOMY",1,2023,2023,2023
"CITRIC ACID CYCLE",1,2022,2022,2022
"CIVIL ENGINEERING",1,2025,2025,2025
"CLEAN FUEL",1,2024,2024,2024
"CLEAN TECHNOLOGIES",1,2023,2023,2023
"CLEAN WATERS",1,2025,2025,2025
"CLIMATE ACTION",1,2024,2024,2024
"CLIMATE MODELS",1,2019,2019,2019
"CLOSED-LOOP",1,2023,2023,2023
"CLOSTRIDIUM",1,2025,2025,2025
"CO-CULTURES",1,2015,2015,2015
"CO 2 MITIGATION",1,2022,2022,2022
"CO2",1,2019,2019,2019
"CO2 BIOFIXATION",1,2022,2022,2022
"CO2 CAPTURE",1,2024,2024,2024
"CO2 CAPTURE AND SEQUESTRATION",1,2022,2022,2022
"CO2 EMISSIONS",1,2023,2023,2023
"CO2 REDUCTION",1,2019,2019,2019
"CO2 SEQUESTRATION",1,2020,2020,2020
"COD CHEMICAL DEMAND FOR OXYGEN",1,2022,2022,2022
"COHERENT SCREENING",1,2025,2025,2025
"COLD CLIMATE",1,2023,2023,2023
"COLD REGIONS",1,2023,2023,2023
"COLOCATIONS",1,2017,2017,2017
"COMMERCIAL",1,2010,2010,2010
"COMMERCIAL APPLICATIONS",1,2023,2023,2023
"COMMERCIAL FACILITIES",1,2018,2018,2018
"COMMERCIAL PROCESS",1,2017,2017,2017
"COMMERCIAL REALITY",1,2009,2009,2009
"COMMERCIAL TRANSPORTATION",1,2020,2020,2020
"COMPOUND ENGINES",1,2025,2025,2025
"COMPREHENSIVE INFORMATION",1,2018,2018,2018
"COMPREHENSIVE RESEARCH",1,2009,2009,2009
"COMPRESSION IGNITION ENGINE",1,2014,2014,2014
"CONCENTRATION (COMPOSITION)",1,2018,2018,2018
"CONCEPTUAL REVIEW",1,2020,2020,2020
"CONFLICTS ANALYSIS",1,2022,2022,2022
"CONSTRUCTION AND DEMOLITION WASTE",1,2025,2025,2025
"CONSUMER VALUE",1,2023,2023,2023
"CONTINUOUS PHOTO-BIOREACTOR",1,2022,2022,2022
"CONTINUOUS PRODUCTION",1,2015,2015,2015
"CONTROLLED STUDY",1,2024,2024,2024
"CONVENTIONAL ENERGY SOURCES",1,2022,2022,2022
"CONVENTIONAL OIL",1,2019,2019,2019
"CONVERSION PROCESS",1,2016,2016,2016
"CONVERSION TECHNOLOGY",1,2020,2020,2020
"COP CONFERENCE OF THE PARTY",1,2022,2022,2022
"COPRODUCT",1,2017,2017,2017
"COST-EFFICIENT",1,2024,2024,2024
"COST ANALYSIS",1,2016,2016,2016
"COST CONTROL",1,2023,2023,2023
"COST ESTIMATING",1,2025,2025,2025
"COST REDUCTION",1,2022,2022,2022
"COSTS AND COST ANALYSIS",1,2020,2020,2020
"COVID-19",1,2023,2023,2023
"CR CONFLUENCE OF CONCENTRATED SLUDGE TAILING AND DIGESTED EFFLUENT",1,2022,2022,2022
"CRITIC",1,2025,2025,2025
"CRITICAL DATA",1,2012,2012,2012
"CRITICAL EVALUATION",1,2010,2010,2010
"CRITICAL FACTORS",1,2010,2010,2010
"CROP PLANTS",1,2018,2018,2018
"CROP PRODUCTION",1,2013,2013,2013
"CROSSFLOW FILTRATION",1,2016,2016,2016
"CRUDE OIL",1,2016,2016,2016
"CRUDE OIL PRICE",1,2020,2020,2020
"CRUDE OIL PRICES",1,2024,2024,2024
"CU COPPER",1,2022,2022,2022
"CULTIVATION AND HARVESTING",1,2023,2023,2023
"CULTIVATION SYSTEMS",1,2023,2023,2023
"CULTURAL IMPLICATIONS",1,2015,2015,2015
"CULTURE CONDITIONS",1,2010,2010,2010
"CULTURE MEDIUM",1,2022,2022,2022
"CULTURE OPTIMIZATIONS",1,2016,2016,2016
"CULTURE TECHNIQUE",1,2012,2012,2012
"CURRENT LIMITATION",1,2011,2011,2011
"CURRENT PRODUCTION",1,2016,2016,2016
"CURRENT SITUATION",1,2022,2022,2022
"CW CASSAVUM WASTEWATER",1,2022,2022,2022
"CYANOBACTERIAL STRAIN",1,2023,2023,2023
"CYTOLOGY",1,2018,2018,2018
"D LIQUID DIGESTATE",1,2022,2022,2022
"DALYS (DISABILITYADJUSTED LIFE YEARS)",1,2024,2024,2024
"DATA SET",1,2012,2012,2012
"DATABASE",1,2015,2015,2015
"DEFORESTATION",1,2018,2018,2018
"DELPHI ANALYSIS",1,2015,2015,2015
"DELPHI STUDY",1,2015,2015,2015
"DENSITY GRADIENT CENTRIFUGATION",1,2016,2016,2016
"DESIGN AND IMPLEMENTATIONS",1,2013,2013,2013
"DESMODESMUS",1,2023,2023,2023
"DEVELOPING COUNTRIES",1,2020,2020,2020
"DEVELOPING WORLD",1,2012,2012,2012
"DIESEL ENGINES",1,2022,2022,2022
"DIGESTIBILITY",1,2015,2015,2015
"DIGITAL STORAGE",1,2024,2024,2024
"DIOXIDE CAPTURE",1,2019,2019,2019
"DISABILITY-ADJUSTED LIFE YEAR",1,2024,2024,2024
"DISABILITY ADJUSTED LIFE YEARS",1,2024,2024,2024
"DISCRETE CHOICE EXPERIMENTS",1,2023,2023,2023
"DOCOSAHEXAENOIC ACID",1,2023,2023,2023
"DOWNSTREAM OPERATION",1,2020,2020,2020
"DRUG",1,2024,2024,2024
"DRUG INDUSTRY",1,2019,2019,2019
"DRY WEIGHT",1,2019,2019,2019
"DYES",1,2009,2009,2009
"EARTH (PLANET)",1,2021,2021,2021
"ECO-INNOVATION",1,2011,2011,2011
"ECOLOGY",1,2022,2022,2022
"ECONOMIC AND ENVIRONMENTAL BENEFITS",1,2014,2014,2014
"ECONOMIC AND SOCIAL BENEFITS",1,2015,2015,2015
"ECONOMIC AND SOCIAL EFFECTS",1,2023,2023,2023
"ECONOMIC BARRIERS",1,2009,2009,2009
"ECONOMIC CONDITIONS",1,2019,2019,2019
"ECONOMIC ENVIRONMENT",1,2020,2020,2020
"ECONOMIC IMPACT",1,2023,2023,2023
"ECONOMIC PARAMETERS",1,2023,2023,2023
"ECONOMIC PERSPECTIVE",1,2021,2021,2021
"ECONOMICAL PRODUCTION",1,2020,2020,2020
"ECOSYSTEM RESTORATION",1,2023,2023,2023
"ECOSYSTEMS",1,2023,2023,2023
"EDITING TOOLS",1,2018,2018,2018
"ELECTRIC POWER SYSTEM ECONOMICS",1,2012,2012,2012
"ELECTRIC POWER TRANSMISSION",1,2018,2018,2018
"ELECTRICITY",1,2024,2024,2024
"ELECTROPHYSIOLOGY",1,2022,2022,2022
"EMERGING TECHNOLOGIES",1,2015,2015,2015
"EMISSION MITIGATION",1,2011,2011,2011
"EMPIRICAL RESEARCH",1,2016,2016,2016
"ENERGY-BALANCE",1,2023,2023,2023
"ENERGY-GENERATING RESOURCES",1,2009,2009,2009
"ENERGY BALANCE ANALYSIS",1,2020,2020,2020
"ENERGY CONTAMINATION",1,2023,2023,2023
"ENERGY CONVERSION",1,2020,2020,2020
"ENERGY CONVERSION EFFICIENCY",1,2023,2023,2023
"ENERGY COST",1,2020,2020,2020
"ENERGY HARVESTING",1,2010,2010,2010
"ENERGY INDEPENDENCE",1,2009,2009,2009
"ENERGY RESOURCES",1,2011,2011,2011
"ENERGY SOURCE",1,2021,2021,2021
"ENERGY SUSTAINABILITY",1,2022,2022,2022
"ENERGY TRANSITIONS",1,2024,2024,2024
"ENERGY USE",1,2012,2012,2012
"ENERGY YIELD",1,2018,2018,2018
"ENGINEERING RESEARCH",1,2023,2023,2023
"ENGINES",1,2012,2012,2012
"ENRICHMENT EVALUATION",1,2025,2025,2025
"ENVIRONMENTAL APPLICATIONS",1,2015,2015,2015
"ENVIRONMENTAL BENEFITS",1,2012,2012,2012
"ENVIRONMENTAL BIOMONITORING",1,2024,2024,2024
"ENVIRONMENTAL CHARACTERISTIC",1,2018,2018,2018
"ENVIRONMENTAL CONCERNS",1,2020,2020,2020
"ENVIRONMENTAL CONTAMINATION",1,2023,2023,2023
"ENVIRONMENTAL CRISIS",1,2025,2025,2025
"ENVIRONMENTAL DEVELOPMENT",1,2015,2015,2015
"ENVIRONMENTAL HEALTH",1,2024,2024,2024
"ENVIRONMENTAL MANAGEMENT",1,2024,2024,2024
"ENVIRONMENTAL PERFORMANCE",1,2017,2017,2017
"ENVIRONMENTAL PLANNING",1,2016,2016,2016
"ENVIRONMENTAL POLLUTIONS",1,2022,2022,2022
"ENVIRONMENTAL PROTECTION AGENCY",1,2024,2024,2024
"ENVIRONMENTAL REMEDIATION",1,2025,2025,2025
"ENVIRONMENTAL STANDPOINT",1,2015,2015,2015
"ENVIRONMENTAL TREATMENT",1,2018,2018,2018
"ENVIRONMENTALLY BENIGN",1,2016,2016,2016
"EPS EXOPOLYMER",1,2022,2022,2022
"ET ETHYLBENZENE",1,2022,2022,2022
"ETHANOL-PRODUCTION",1,2025,2025,2025
"EUKARYOTE",1,2012,2012,2012
"EUKARYOTIC MICROORGANISMS",1,2012,2012,2012
"EUKARYOTIC ORGANISMS",1,2020,2020,2020
"EUTROPHICATION",1,2015,2015,2015
"EVAPORATION",1,2018,2018,2018
"EXHAUST GAS",1,2020,2020,2020
"EXHAUST GASES",1,2025,2025,2025
"EXOPOLYMERS",1,2022,2022,2022
"EXOPOLYSACCHARIDE",1,2023,2023,2023
"EXPERT SYSTEM",1,2015,2015,2015
"EXPONENTIAL GROWTH",1,2023,2023,2023
"EXPONENTIAL INCREASE",1,2022,2022,2022
"EXTERNALITY",1,2023,2023,2023
"F FLUORINE",1,2022,2022,2022
"FAMES",1,2014,2014,2014
"FASTER RATES",1,2022,2022,2022
"FATTY-ACID-COMPOSITION",1,2014,2014,2014
"FATTY-ACIDS",1,2023,2023,2023
"FATTY ACIDS PROFILES",1,2024,2024,2024
"FE IRON",1,2022,2022,2022
"FEDERAL BUDGET",1,2009,2009,2009
"FEED STOCK",1,2018,2018,2018
"FEEDSTOCK RESOURCES",1,2018,2018,2018
"FIXATION",1,2022,2022,2022
"FLOTATION",1,2010,2010,2010
"FLUE-GAS",1,2019,2019,2019
"FLUE GASES",1,2019,2019,2019
"FLUIDIZED-BED BIOREACTOR",1,2025,2025,2025
"FOOD COLOR",1,2023,2023,2023
"FOOD PRICES",1,2023,2023,2023
"FOOD PRODUCTION",1,2022,2022,2022
"FOOD WASTE",1,2024,2024,2024
"FOREST",1,2019,2019,2019
"FOSSIL CARBON",1,2023,2023,2023
"FOSSIL FUEL COMBUSTION",1,2013,2013,2013
"FOSSIL FUEL DEPOSITS",1,2016,2016,2016
"FOURTH GENERATION",1,2024,2024,2024
"FRACTIONATION",1,2019,2019,2019
"FRESH WATER",1,2018,2018,2018
"FRESHWATER MICROALGAE",1,2021,2021,2021
"FUEL CELLS",1,2012,2012,2012
"FUEL CHARACTERISTICS",1,2021,2021,2021
"FUEL ECONOMY",1,2022,2022,2022
"FUEL PRODUCTION",1,2010,2010,2010
"FUEL PURIFICATION",1,2012,2012,2012
"FUEL RESEARCH",1,2024,2024,2024
"FUEL SUBSTITUTES",1,2009,2009,2009
"FUELING",1,2018,2018,2018
"FUTURE DIRECTIONS",1,2010,2010,2010
"FUTURE PERSPECTIVES",1,2022,2022,2022
"FUTURE RESEARCH DIRECTIONS",1,2021,2021,2021
"GAS DIFFUSION",1,2010,2010,2010
"GENE SEQUENCE",1,2010,2010,2010
"GENETIC MANIPULATION",1,2016,2016,2016
"GENETIC MARKER",1,2011,2011,2011
"GENETIC MODIFICATIONS",1,2011,2011,2011
"GENETICALLY MODIFIED",1,2016,2016,2016
"GENETICALLY MODIFIED ORGANISM",1,2013,2013,2013
"GEOGRAPHIC DISTRIBUTION",1,2024,2024,2024
"GEOGRAPHICAL LOCATIONS",1,2020,2020,2020
"GEOGRAPHICAL VARIATION (SPECIES)",1,2016,2016,2016
"GLOBAL DEMAND",1,2023,2023,2023
"GLOBAL EMISSIONS",1,2024,2024,2024
"GLOBAL ENERGY STRATEGY",1,2022,2022,2022
"GLOBAL OPTIMIZATION",1,2017,2017,2017
"GLOBAL SUSTAINABILITY",1,2010,2010,2010
"GLYCERIDE SYNTHESIS",1,2011,2011,2011
"GOLD ORE TREATMENT",1,2022,2022,2022
"GOVERNMENT",1,2010,2010,2010
"GRADIENT BOOSTING",1,2024,2024,2024
"GRADIENT BOOSTING MACHINE",1,2024,2024,2024
"GRAND CHALLENGE",1,2010,2010,2010
"GREEN BIOREFINERY",1,2023,2023,2023
"GREEN CHEMISTRY",1,2023,2023,2023
"GREEN ECONOMIES",1,2023,2023,2023
"GREEN ECONOMY",1,2024,2024,2024
"GREEN ENERGY",1,2011,2011,2011
"GREEN GASOLINE",1,2009,2009,2009
"GREEN HOUSE GAS",1,2022,2022,2022
"GREEN HYDROGEN",1,2024,2024,2024
"GREEN RECOVERY",1,2023,2023,2023
"GREENHOUSE",1,2018,2018,2018
"GREENHOUSE GAS MITIGATION",1,2023,2023,2023
"GREENHOUSE GASES (GHG)",1,2021,2021,2021
"GREENHOUSE GASES EMISSIONS",1,2015,2015,2015
"GREENHOUSES",1,2022,2022,2022
"GREENHOUSES GAS",1,2023,2023,2023
"GROUNDWATER",1,2015,2015,2015
"GROUNDWATER FLOW",1,2012,2012,2012
"GROUNDWATER POLLUTION",1,2015,2015,2015
"GROWING CONDITIONS",1,2021,2021,2021
"GROWTH INHIBITION",1,2022,2022,2022
"GROWTH MEDIUM",1,2024,2024,2024
"GROWTH STIMULATION",1,2022,2022,2022
"GUIDELINE",1,2022,2022,2022
"HAEMATOCOCCUS",1,2023,2023,2023
"HARVESTING METHODS",1,2023,2023,2023
"HAZARD EVALUATION",1,2016,2016,2016
"HAZARDOUS MATERIALS",1,2016,2016,2016
"HAZARDOUS SUBSTANCES",1,2021,2021,2021
"HAZARDS",1,2016,2016,2016
"HEALTH CARE",1,2020,2020,2020
"HEALTH CARE APPLICATION",1,2020,2020,2020
"HEALTH HAZARD",1,2024,2024,2024
"HEALTH PRODUCTS",1,2024,2024,2024
"HEALTH RISKS",1,2024,2024,2024
"HEAVY METALS",1,2023,2023,2023
"HEMP",1,2025,2025,2025
"HERB",1,2010,2010,2010
"HETEROTROPHIC FERMENTATION",1,2015,2015,2015
"HETEROTROPHY",1,2018,2018,2018
"HEXANE",1,2016,2016,2016
"HIGH-VALUE-ADDED BIO-RENEWABLES",1,2022,2022,2022
"HIGH ENERGY CONSUMPTION",1,2015,2015,2015
"HIGH ENERGY DENSITIES",1,2009,2009,2009
"HIGH ENERGY DENSITY",1,2009,2009,2009
"HIGH GROWTH-RATE",1,2022,2022,2022
"HIGH POTENTIAL",1,2016,2016,2016
"HUMAN ACTIVITY",1,2022,2022,2022
"HUMAN RACES",1,2023,2023,2023
"HYBRID SYSTEMS",1,2023,2023,2023
"HYDROCARBON",1,2019,2019,2019
"HYDROGEN-PRODUCTION",1,2023,2023,2023
"HYDROGEN FUELS",1,2022,2022,2022
"HYDROGEN PRODUCTION",1,2024,2024,2024
"HYDROGENATION",1,2010,2010,2010
"HYDROLYSIS KINETICS",1,2023,2023,2023
"HYDROPHILICITY",1,2019,2019,2019
"HYDROTHERMAL CARBONIZATION",1,2025,2025,2025
"HYDROTHERMAL LIQUEFACTIONS",1,2024,2024,2024
"HYDROTREATMENT",1,2024,2024,2024
"I.C. ENGINE",1,2022,2022,2022
"IC ENGINES",1,2022,2022,2022
"IDEAL SOLUTIONS",1,2025,2025,2025
"ILLUMINATION",1,2010,2010,2010
"IMAGE ENHANCEMENT",1,2020,2020,2020
"IMMOBILIZED CELL",1,2018,2018,2018
"IMPACT",1,2015,2015,2015
"IMPACT ASSESSMENT",1,2023,2023,2023
"IN-DEPTH ANALYSIS",1,2023,2023,2023
"INDONESIA",1,2023,2023,2023
"INDUSTRIAL-SCALE PRODUCTION",1,2021,2021,2021
"INDUSTRIAL ECONOMICS",1,2018,2018,2018
"INDUSTRIAL EMISSIONS",1,2024,2024,2024
"INDUSTRIAL RESEARCH",1,2009,2009,2009
"INDUSTRIAL SCALE",1,2019,2019,2019
"INDUSTRIAL SOURCES",1,2025,2025,2025
"INDUSTRIAL WASTE",1,2019,2019,2019
"INDUSTRIAL WATER TREATMENT",1,2018,2018,2018
"INFORMATION GAP",1,2010,2010,2010
"INFORMATION SCIENCE",1,2015,2015,2015
"INFRASTRUCTURE CONSTRUCTION",1,2015,2015,2015
"INSURANCE",1,2025,2025,2025
"INTEGER PROGRAMMING",1,2015,2015,2015
"INTEGRATED APPLICATIONS",1,2018,2018,2018
"INTEGRATED ASSESSMENT MODELS",1,2018,2018,2018
"INTEGRATED CIRCUITS",1,2022,2022,2022
"INTEGRATION",1,2023,2023,2023
"INTERNAL COMBUSTION",1,2010,2010,2010
"INTERNATIONAL TRADE",1,2020,2020,2020
"INVENTORY",1,2021,2021,2021
"IRON",1,2022,2022,2022
"ISOLATION AND PURIFICATION",1,2019,2019,2019
"JAPAN",1,2010,2010,2010
"JATROPHA-CURCAS L.",1,2014,2014,2014
"JET FUEL",1,2009,2009,2009
"KEY CHALLENGES",1,2019,2019,2019
"KEY ISSUES",1,2023,2023,2023
"KNOWLEDGE BASE",1,2010,2010,2010
"KNOWLEDGE BASED SYSTEMS",1,2010,2010,2010
"LABORATORY SCALE",1,2011,2011,2011
"LAND AREAS",1,2020,2020,2020
"LAND FILL",1,2025,2025,2025
"LAND USAGE",1,2018,2018,2018
"LAND USE CHANGE",1,2015,2015,2015
"LAND UTILIZATION",1,2012,2012,2012
"LANDFILL LEACHATES",1,2016,2016,2016
"LARGE-SCALE PRODUCTION",1,2011,2011,2011
"LEACHATE TREATMENT",1,2016,2016,2016
"LEAKAGE (FLUID)",1,2009,2009,2009
"LEPTOLYNGBYA",1,2023,2023,2023
"LIGHT HARVESTING SYSTEM",1,2016,2016,2016
"LIGHT INTENSITY",1,2010,2010,2010
"LIGNIN",1,2021,2021,2021
"LIGNOCELLULOSE",1,2019,2019,2019
"LIGNOCELLULOSE FEEDSTOCKS",1,2021,2021,2021
"LIGNOCELLULOSE MATERIALS",1,2021,2021,2021
"LIGNOCELLULOSIC BIOMASS",1,2019,2019,2019
"LIPID ACCUMULATIONS",1,2024,2024,2024
"LIPID ANALYSIS",1,2019,2019,2019
"LIPID COMPOSITION",1,2022,2022,2022
"LIPID CONTENT",1,2009,2009,2009
"LIPID PRODUCTION",1,2025,2025,2025
"LIPID STORAGE",1,2020,2020,2020
"LIPOGENESIS",1,2022,2022,2022
"LIQUID",1,2020,2020,2020
"LIQUID WASTE",1,2023,2023,2023
"LITERATURE REVIEWS",1,2024,2024,2024
"LOCAL PARTICIPATION",1,2012,2012,2012
"LONG-TERM DEVELOPMENT",1,2011,2011,2011
"LONG-TERM SUSTAINABILITY",1,2012,2012,2012
"LOW-COST FEEDSTOCK",1,2025,2025,2025
"LOW CARBON",1,2021,2021,2021
"MACHINE-LEARNING",1,2024,2024,2024
"MACROALGAL BIOREFINERY",1,2023,2023,2023
"MANURES",1,2023,2023,2023
"MARGINAL LANDS",1,2024,2024,2024
"MARINE ENVIRONMENT",1,2021,2021,2021
"MARKET FLUCTUATIONS",1,2018,2018,2018
"MARKETING",1,2018,2018,2018
"MASS CULTURES",1,2015,2015,2015
"MASS SCALE PRODUCTIONS",1,2019,2019,2019
"MAXIMUM PRODUCTIVITY",1,2010,2010,2010
"MAXIMUM VALUES",1,2010,2010,2010
"MEDIUM TERM",1,2018,2018,2018
"MERS",1,2025,2025,2025
"METABOLIC VERSATILITY",1,2020,2020,2020
"METABOLITES",1,2024,2024,2024
"METAL RECOVERY",1,2009,2009,2009
"METHYL-ESTERS",1,2014,2014,2014
"MG MAGNESIUM",1,2022,2022,2022
"MICROALGA-BASED BIOREFINERY MICROALGA-BASED BIOREFINERY",1,2022,2022,2022
"MICROALGA BIOENERGY",1,2024,2024,2024
"MICROALGAE-BASED BIOREFINERY",1,2023,2023,2023
"MICROALGAE HARVESTING",1,2020,2020,2020
"MICROALGAL BIOREFINERY",1,2023,2023,2023
"MICROALGAL GROWTH",1,2010,2010,2010
"MICROBIAL ACTIVITY",1,2015,2015,2015
"MICROBIAL COMMUNITY",1,2015,2015,2015
"MICROBIAL OIL",1,2014,2014,2014
"MICROLGAE",1,2013,2013,2013
"MICROORGANISM",1,2018,2018,2018
"MIXED-INTEGER NONLINEAR PROGRAMMING",1,2015,2015,2015
"MIXED INTEGER NONLINEAR PROGRAMMING MODELS",1,2015,2015,2015
"MIXED METHOD",1,2024,2024,2024
"MIXED SPECIES",1,2016,2016,2016
"MOLECULAR BIOLOGY",1,2011,2011,2011
"MOLECULAR BIOLOGY TOOLS",1,2011,2011,2011
"MOLECULAR ENGINEERING",1,2023,2023,2023
"MOLECULAR FARMING",1,2016,2016,2016
"MOLECULAR HYDROGEN",1,2012,2012,2012
"MOLECULAR PHYSICS",1,2012,2012,2012
"MULTI-DISCIPLINARY APPROACH",1,2011,2011,2011
"MULTI-OBJECTIVE OPTIMIZATION ON THE BASE OF RATIO ANALYZE",1,2025,2025,2025
"MULTI-OBJECTIVES OPTIMIZATION",1,2025,2025,2025
"MUTAGENESIS",1,2023,2023,2023
"MUTUALISTIC INTERACTION",1,2022,2022,2022
"N NITROGEN",1,2022,2022,2022
"NANOPARTICLE",1,2023,2023,2023
"NATURAL ATTENUATION",1,2025,2025,2025
"NATURAL ENERGY",1,2023,2023,2023
"NATURAL ENVIRONMENTS",1,2024,2024,2024
"NATURAL RESOURCES",1,2021,2021,2021
"NEOCHLORIS OLEOABUNDANS",1,2023,2023,2023
"NET-ZERO",1,2022,2022,2022
"NET ENERGY RATIOS",1,2022,2022,2022
"NET ZERO",1,2024,2024,2024
"NEUTRALISATION",1,2022,2022,2022
"NEW DIMENSIONS",1,2012,2012,2012
"NI NOT IDENTIFIED",1,2022,2022,2022
"NITROGEN AND PHOSPHORUS",1,2018,2018,2018
"NITROGEN CONCENTRATION",1,2019,2019,2019
"NITROGEN FIXATION",1,2018,2018,2018
"NITROGEN OXIDE",1,2019,2019,2019
"NITROGEN REMOVAL",1,2022,2022,2022
"NON-AGRICULTURAL LANDS",1,2013,2013,2013
"NON-CONVENTIONAL ENERGY SOURCES",1,2016,2016,2016
"NON-FOOD CROPS",1,2011,2011,2011
"NONLINEAR PROGRAMMING",1,2015,2015,2015
"NOVEL STRATEGIES",1,2011,2011,2011
"NPV NET PRESENT VALUE",1,2022,2022,2022
"NUCLEAR TRANSFORMATIONS",1,2011,2011,2011
"NUCLEOPOLYHEDROVIRUS",1,2018,2018,2018
"NUMBER OF SPECIES",1,2011,2011,2011
"NUMERICAL MODEL",1,2015,2015,2015
"NUTRACEUTICAL PRODUCTS",1,2010,2010,2010
