publication_number,title,topic,topic_probability,country_code,publication_date
CN-118854865-A,Algae removal system,2,0.49823675,CN,20241029
CN-102199540-A,Method for openingly cultivating spiral algae,3,0.4061617,CN,20110928
CN-109929746-A,A kind of cultivating system for bait micro-algae breeding scale,6,0.5494807,CN,20190625
CN-112175937-A,Method for separating microalgae,6,0.48404878,CN,20210105
CN-117481011-A,Method for rapidly improving plant biomass,3,0.48309705,CN,20240202
CN-118374566-A,Method for realizing industrial production of astaxanthin by haematococcus pluvialis through regulating and controlling pH,3,0.54614353,CN,20240723
CN-119193407-A,Method for extracting stabilizer from blue algae,0,0.4655313,CN,20241227
CN-116970463-A,Modularized airlift microalgae self-control cultivation equipment,2,0.5133535,CN,20231031
CN-117016697-A,Feed for improving absorption and accumulation of exogenous astaxanthin by prawns and application of feed,6,0.5097102,CN,20231110
CN-118754747-A,Preparation method of seaweed foliar fertilizer for promoting fruit color conversion,3,0.3749072,CN,20241011
CN-105755034-A,Recombinant expression vector of Chlamydomonas reinhardtii Dof (DNA binding with one finger) gene as well as construction method and application of recombinant expression vector,6,0.43828243,CN,20160713
CN-105759003-A,Method for measuring Fo so as to estimate primary productivity of water body,2,0.5379055,CN,20160713
CN-113907097-A,Composite plant extract for inhibiting vibrio harveyi in high salinity water environment and preparation method and application thereof,2,0.35677072,CN,20220111
CN-110249995-A,A method of long-term preservation pure laver line germ plasm resource at normal temperature,2,0.50277716,CN,20190920
CN-114409015-A,Pond blue algae bloom removing device,2,0.40494788,CN,20220429
CN-107265659-A,A kind of aquaculture microorganism substrate modifier with triple function and preparation method thereof,2,0.54359984,CN,20171020
CN-107384801-A,Closing biological membrane type cultural method for industrialized production microalgae,6,0.6950053,CN,20171124
CN-107487860-A,Device for cultivating microalgae by using sewage and manufacturing method thereof,2,0.6326933,CN,20171219
CN-107828661-A,A kind of strategy of municipal sewage culture micro algae growth metabolic regulation,0,0.8111558,CN,20180323
CN-117530214-A,Marine product cultivation new cylinder mould convenient to it is automatic,3,0.32096848,CN,20240209
CN-114365667-B,Novel roof greening method based on stamen-shaped sphagnum,1,0.28245866,CN,20230602
CN-120519256-A,Algae culture device and method for regulating and controlling carbon dioxide concentration in water body,2,0.57986104,CN,20250822
CN-201381319-Y,Optical bioreactor for nursing microalgae,6,0.54985607,CN,20100113
CN-106047775-A,Stain of bacillus megatherium for producing cellulase and application method thereof,6,0.5003128,CN,20161026
CN-108192828-A,A kind of method that micro-algae culture medium is prepared using waste recovery technology,6,0.7684891,CN,20180622
CN-108641771-A,A kind of pecan biological particles,0,0.41611576,CN,20181012
CN-213977623-U,Microalgae culture device based on luminous flux amplification,3,0.5698133,CN,20210817
CN-113800605-B,Method for treating aquaculture seawater tail water based on photoelectrocatalysis to generate free radicals,2,0.45888478,CN,20240112
CN-104877892-A,Combed flexible rotor in tubular photobioreactor,0,0.32596335,CN,20150902
CN-112961758-A,Marine microalgae culture device,3,0.5298616,CN,20210615
CN-112961880-B,Construction method of algae-bacteria symbiotic system for removing ARGs in water body,2,0.5212326,CN,20240130
CN-113214998-A,Preparation method of natural astaxanthin,3,0.4835439,CN,20210806
CN-114365667-A,Novel roof greening method based on pistachio moss,1,0.30995345,CN,20220419
CN-114807272-B,Method for producing GG product by recycling algae cells,3,0.5981078,CN,20231110
CN-101731147-A,Gelidium amansii Lamx. culture method by tissue culture breeding,3,0.34481716,CN,20100616
CN-102863115-A,Method for treating fermentation industry waste water and producing algae powder by using microalgae,2,0.7579861,CN,20130109
CN-103013603-A,Multistage tandem biogas grade promoting system,0,0.6421451,CN,20130403
CN-117282222-A,Device and method for continuously capturing carbon in air,2,0.4550103,CN,20231226
CN-118267844-A,Microalgae carbon fixation system and method based on carbon pond,2,0.6595203,CN,20240702
CN-108277153-A,A kind of culture systems and application method of the haematococcus pluvialis being suitable for the north,2,0.5081185,CN,20180713
CN-113647638-B,Method for extracting dietary fiber from marine red algae,3,0.5826567,CN,20230616
CN-119978264-A,Tentacle type double-cation modified tannin-based organic flocculant and preparation method and application thereof,2,0.47138545,CN,20250513
CN-202220168-U,Device for screening and culturing microalgae by using oil-containing waste gas,1,0.546509,CN,20120516
CN-206525357-U,A kind of water treatment facilities used for aquiculture,2,0.5653696,CN,20170929
CN-101979498-A,High-yield heterotrophic culture method for microalgae,6,0.6651832,CN,20110223
CN-102134840-A,Method for water quality control of urban lakes and landscape design,2,0.36557642,CN,20110727
CN-219919930-U,Lower algae culture apparatus,3,0.3946897,CN,20231031
CN-120243129-A,"Composite photocatalyst modified by algae carbon dots, preparation method thereof and application of composite photocatalyst in degradation of antibiotics",2,0.43261588,CN,20250704
CN-107475121-A,The prevention and controls of harmful bacteria in a kind of microalga cultivation process,3,0.60843444,CN,20171215
CN-105670934-B,Method and device for inoculating photobiological cells,6,0.44747925,CN,20200114
CN-223386122-U,Outdoor desert blue algae culture device,3,0.37558085,CN,20250926
CN-105439675-A,Fertilizer water paste for aquiculture,2,0.42584527,CN,20160330
CN-102845296-B,Releasing method for porphyra haitanensis seedlings,2,0.2714874,CN,20141105
CN-103045352-A,Extraction method of microalga grease,6,0.63368756,CN,20130417
CN-103431269-A,Health-care meat glutinous rice dumpling and processing method thereof,6,0.3328792,CN,20131211
CN-104357328-A,Screening and culture method of Platymonas subcordiformis with colonial code of MACC/P66,3,0.4786216,CN,20150218
CN-104789631-B,A kind of chlorella cultural method that can improve lutein yield and equipment,3,0.6016122,CN,20171222
CN-102190375-A,Application of chrysopogon zizanioides in eutrophic water,2,0.46958584,CN,20110921
CN-104789603-A,Method for treating starch wastewater and simultaneously generating renewable energy source,2,0.6443789,CN,20150722
CN-102219308-B,Method for collecting blue algae and purifying water quality,2,0.49905196,CN,20130320
CN-106085834-A,A kind of biogas slurry biological cleaning cultivating system and operational method thereof,2,0.6281086,CN,20161109
CN-106167761-A,A kind of U-shaped indoor SPIRULINA CULTIVATION reactor assembly,2,0.32990834,CN,20161130
CN-105349342-A,"Method for preparing nutritional wine by using composition of fungi, algae and dendrobium",6,0.3935569,CN,20160224
CN-103430882-B,A kind of fishes and shrimps shellfish polyculture method of low-carbon (LC),2,0.4939453,CN,20151118
CN-104745648-B,The application of a kind of salicylic acid and salicylic acid and its analogs in microalgae biodiesel quality is improved,5,0.69929034,CN,20180227
CN-115024428-A,Antibiotic-free feed additive capable of improving immunity and intestinal tracts of waterfowls and preparation method thereof,6,0.59732604,CN,20220909
CN-115735460-A,Method for directionally regulating and controlling rice field algae bacterium biomembrane through waste hydrothermal carbonization liquid phase product,0,0.56715214,CN,20230307
CN-115963204-A,"Method for detecting 2-amino-3, 4-difluorobenzaldehyde in water and algae culture medium by using ultra-high liquid chromatography",2,0.31472385,CN,20230414
CN-220012653-U,Sequential type photobioreactor for microalgae culture,2,0.57946616,CN,20231114
CN-111250092-A,Preparation method and application of biomass honeycomb-shaped semicoke-loaded nickel-iron nanoparticle catalyst,0,0.49377993,CN,20200609
CN-111466331-B,Freshwater shrimp artificial ecological pond culture method and device,2,0.44445783,CN,20240823
CN-103274527-B,Continuous system for treating organic wastewater by using microalgae,2,0.6922587,CN,20150128
CN-105392879-B,For being homogenized the optimization method of rupture chlorella cells wall by extra-high voltage,0,0.6134803,CN,20190816
CN-101318714-B,Method and apparatus for harvesting water bloom blue algae,2,0.42903513,CN,20101208
CN-112655610-A,Efficient cultivation method for tropical sea cucumber seedlings,3,0.4548158,CN,20210416
CN-101940344-A,Processing method of instant hot and sour laver,3,0.39778852,CN,20110112
CN-102863115-B,Method for treating fermentation industry waste water and producing algae powder by using microalgae,2,0.7579861,CN,20140702
CN-104962475-A,Coal-mine-underground-reservoir-based carbon dioxide underground sealing method and system,2,0.58102673,CN,20151007
CN-105027976-A,Cultivation method of nameko mushroom with good quality and high production,4,0.36956406,CN,20151111
CN-115232751-A,"Method for enhancing nitrogen removal capability of Bothrix fulvescens by utilizing low-nitrogen pretreatment, nitrogen treatment method and Bothrix fulvescens obtained",2,0.6159131,CN,20221025
CN-106472599-A,A kind of blue algae growth inhibitor,2,0.48952565,CN,20170308
CN-107164246-A,A kind of thermotolerant yeast bacterium and its application,0,0.51500803,CN,20170915
CN-107374992-A,The crease-resistant Face-protecting mask that compacts of lycopene,5,0.23303245,CN,20171124
CN-109730945-B,Self-emulsifying seaweed cleansing oil and preparation method thereof,3,0.3336761,CN,20220311
CN-119524797-A,Nitrogen and phosphorus removal material for river and lake water body and preparation method thereof,2,0.4787,CN,20250228
CN-119700839-A,Ganoderma microsphere and algae co-fermentation technology with hair follicle stem cell repairing effect and hair growth promoting effect and application thereof,6,0.47937322,CN,20250328
CN-213295042-U,Treatment equipment for algae culture water,2,0.4652214,CN,20210528
CN-107176751-A,A kind of emergence treating method of quick reduction Fish-water Fish Farming pond wawter bloom harm,2,0.5474248,CN,20170919
CN-107238687-A,A kind of method of PFOS toxicity in utilization goat&#39;s horn crescent moon algae detection water,2,0.41979355,CN,20171010
CN-107258632-A,A kind of method for preventing and treating prawn infusorian disease,3,0.39927477,CN,20171020
CN-112005937-A,Ecological breeding mode of weever and corbicula fluminea,2,0.4820174,CN,20201201
CN-112830641-A,High-density microalgae biofilm reactor based on membrane aeration and membrane concentration and algae culture method thereof,2,0.6279193,CN,20210525
CN-119886470-A,Three-dimensional ecological culture optimization method for seaweed gracilaria,3,0.38453972,CN,20250425
CN-204489156-U,A kind of results propeller for ship and rudder for ship fender guard,3,0.17849484,CN,20150722
CN-117586888-A,Extraction of CO in flue gas of coal-fired power plant 2 Method for algae cultivation,2,0.5971523,CN,20240223
CN-117778136-A,Microalgae photobioreactor performance enhancement system based on light energy distribution optimization,1,0.50781506,CN,20240329
CN-118791139-A,Method for purifying mariculture tail water by utilizing competition among microalgae,6,0.62262547,CN,20241018
CN-113303281-B,Artificial breeding and feeding device and method for green sea turtles with landscape and face-beautifying effects,3,0.20198391,CN,20220401
CN-113331047-A,Method for constructing algal plexus by bottom sowing of gulfweed,3,0.38990206,CN,20210903
CN-101822271-B,Acidizing fluid for green algae and disease infected cell in porphyra haitanensis cultivation and treating method thereof,2,0.4779133,CN,20121121
CN-106172122-A,A kind of sea farming method and device based on marine wind electric field,3,0.38364315,CN,20161207
CN-108409496-A,A kind of composite fertilizer and preparation method thereof preparing improvement soil using dead leaf,0,0.33067998,CN,20180817
CN-108617698-A,A kind of Sargassum horneri extract for promoting seed to sprout,4,0.37946972,CN,20181009
CN-109265293-A,A kind of fertilizer and preparation method rich in animal protein and vegetable protein,0,0.34270853,CN,20190125
CN-109554279-A,A kind of microalgae carbon sequestration is at mine coproduction integrated apparatus,2,0.67843354,CN,20190402
CN-102721655-A,Optimal distinguishing method for red tide water body and main algae thereof,2,0.33541673,CN,20121010
CN-102776117-A,Photobioreactor for culturing microalgae using hollow fiber membrane,2,0.5125564,CN,20121114
CN-103045709-A,Method for synthesizing astaxanthin by inducing chlorella vulgaris by using plant hormones and iron ions,6,0.5733564,CN,20130417
CN-105018336-B,A kind of device of utilization waste water culture microalgae,2,0.61139935,CN,20170725
CN-110523378-B,Application of cyanobacteria mud in algae-water separation station in preparation of biomass activated carbon and in tail water algal toxin adsorption,2,0.6248901,CN,20220510
CN-110973027-A,Method for ecologically breeding litopenaeus vannamei by replacing part of feed with live bait,3,0.46279156,CN,20200410
CN-111088211-A,Culture method of microalgae,6,0.6791347,CN,20200501
CN-106099123-B,A kind of preparation method of the algae film cathode for microbiological fuel cell,3,0.63554835,CN,20190129
CN-103548744-A,Method for cultivating color fresh water pearls with nucleuses,2,0.37693125,CN,20140205
CN-104222027-A,Alga-type highly-concentrated food and preparation method,3,0.6468401,CN,20141224
CN-104472404-A,Recirculating aquaculture system,2,0.5728438,CN,20150401
CN-220215295-U,Spiral algae mud dewatering device that gathers,4,0.29856178,CN,20231222
CN-220610508-U,Culture tube bracket,3,0.24430865,CN,20240319
CN-111201882-A,Cutting and harvesting device for food processing,0,0.33078292,CN,20200529
CN-118844367-A,Closed shellfish culture carbon sink function research experiment system and method,2,0.5365168,CN,20241029
CN-210419953-U,Microalgae breeding self-cleaning device,2,0.41596702,CN,20200428
CN-106577409-A,Method for inducing copepoda to produce diapause eggs,3,0.37005857,CN,20170426
CN-111557888-A,Whitening mask rich in marine extract,6,0.26859206,CN,20200821
CN-109876642-B,Method and device for treating flue gas containing nitrogen oxides,2,0.5567582,CN,20210806
CN-111234879-B,Supercritical water gasification hydrogen production and slurry supercritical hydrothermal combustion coupling system and process,0,0.42327788,CN,20241203
CN-109355278-B,Preparation method of immobilized phycomycete pellet material for degrading PAHs in seawater,2,0.5955454,CN,20220325
CN-221506897-U,Density measuring device is bred to marine fish and shellfish,2,0.24377583,CN,20240809
CN-104388544-A,Method for judging limit of overwintering recovery period of overwintering blue-green algae,2,0.42101264,CN,20150304
CN-105341530-A,Clean type special compound feed for stichopus japonicus and processing method of clean type special compound feed,6,0.41228813,CN,20160224
CN-118406163-A,"Ribose-rich pseudomicroglobuline polysaccharide, preparation method thereof and application thereof as prebiotic",6,0.43261528,CN,20240730
CN-104069901-A,Preparation method and application of algae magnetic cationic exchange resin,2,0.5650795,CN,20141001
CN-105010183-A,Crayfish culture method,2,0.30173504,CN,20151104
CN-218321373-U,Microalgae culture reactor,2,0.5622834,CN,20230117
CN-109122286-A,A kind of offshore floating seaweed prosthetic device and method,3,0.33430737,CN,20190104
CN-115656170-A,Method for evaluating biological effect of cyanobacterial bloom on aquatic plants,2,0.5090545,CN,20230131
CN-114703043-A,Pipeline type spirulina biological cultivation device,3,0.2945351,CN,20220705
CN-116076595-A,"Kaqi flower-pedicle-ma compound extract, preparation method and lipid-reducing health-care tea",5,0.23229578,CN,20230509
CN-116555039-A,Quick culture method of high-quality and high-biomass chlorella pyrenoidosa,1,0.52178293,CN,20230808
CN-117025399-A,Marine chlorella and application thereof,3,0.44076163,CN,20231110
CN-117898232-A,Blue crab seedling ecological cultivation method based on algae-bacteria-bait dynamic regulation,3,0.39119223,CN,20240419
CN-220497220-U,Automatic cleaning device for algae culture container,2,0.40931004,CN,20240220
CN-115873757-A,Alteromonas mylittae and application thereof,6,0.451055,CN,20230331
CN-222982264-U,Sea horse factory scale breeding system,3,0.3611017,CN,20250617
CN-109997771-A,"A method of based on carbon, iron, light regulation pool water transfer system and using the system to pool water transfer",2,0.4891485,CN,20190712
CN-109355170-A,Yellow silk algae culturing device and cultural method,2,0.49154392,CN,20190219
CN-109609353-A,A kind of fountain chlorella breeding airflow stirring culture tank,2,0.3838238,CN,20190412
CN-110074418-A,A kind of extracting method of seaweed diet fiber,3,0.37070268,CN,20190802
CN-110917866-A,Carbon dioxide gas fixing device for microalgae culture,2,0.44080114,CN,20200327
CN-203128547-U,Simple device for continuously and efficiently culturing microalgae,3,0.53603935,CN,20130814
CN-204443504-U,The device of a kind of large-scale cultivation marine alga,3,0.58299595,CN,20150708
CN-209702744-U,A kind of second level culture apparatus of microalgae,6,0.33214703,CN,20191129
CN-215712909-U,Planar three-dimensional microalgae culture container,1,0.4415161,CN,20220201
CN-108753638-B,Nitrogen-fixing blue algae for producing salicylic acid in rice field and application of nitrogen-fixing blue algae in rice field,3,0.43895885,CN,20200417
CN-105104163-B,A kind of continental shelf mixed biologic breeding apparatus,0,0.20683683,CN,20180717
CN-206043125-U,Ecological adaptation multifunctional combination ecologic reef,3,0.41172826,CN,20170329
CN-116200299-B,"Growth-promoting microbial agent and application thereof, soilless culture substrate and application thereof, and technical mode for cultivating tomatoes",6,0.41191536,CN,20250307
CN-116410865-A,Screening of high-temperature-resistant and high-light-resistant tetrad algae,6,0.6342341,CN,20230711
CN-117362126-A,Special fertilizer for grape cultivation and preparation method thereof,0,0.20179185,CN,20240109
CN-117441606-A,Water supply and drainage control method and device applied to algae cultivation,2,0.48295492,CN,20240126
CN-117736817-A,Method and system for recycling carbon dioxide of wine based on microalgae culture,2,0.7124953,CN,20240322
CN-118335179-A,Method for analyzing invasion mechanism of aquatic animals based on nutrition geometric model,2,0.35200334,CN,20240712
CN-118459277-A,Compound fertilizer containing seaweed extract and preparation method thereof,3,0.32949597,CN,20240809
CN-119331738-B,Antagonistic fungus of alginic acid degrading bacteria and application thereof,3,0.404545,CN,20250325
CN-110835299-A,Seaweed functional oil and application thereof,3,0.37530214,CN,20200225
CN-101693878-A,Microalgae concentrating and collecting method and device thereof,2,0.47369426,CN,20100414
CN-104877665-B,"Luminescent material having aggregation-induced emission, method of making and application thereof",6,0.18413946,CN,20170111
CN-104230404-B,A kind of preparation method for digesting high activity seaweed organic fertilizer material and products thereof,3,0.5480749,CN,20180316
CN-110215467-A,"A kind of thickness entoilage algae Dictyota coriacea antioxidant extract, application and pharmaceutical composition",3,0.34046444,CN,20190910
CN-117063746-A,Method for repairing seaweed bed through ecological interface,3,0.411353,CN,20231117
CN-108002481-A,A kind of water treating module,2,0.47835952,CN,20180508
CN-114563362-A,Method for detecting microalgae content in ship ballast water,6,0.54414386,CN,20220531
CN-114586672-A,Indoor seaweed culture system,3,0.4366728,CN,20220607
CN-114107061-B,Seawater microalgae culture medium,6,0.63979447,CN,20231010
CN-106034469-A,Novel fine processing technique of good wheat seeds,6,0.31835204,CN,20161026
CN-107292436-B,Cyanobacterial bloom prediction method based on nonlinear dynamics time sequence model,2,0.3510419,CN,20200717
CN-109574231-A,One kind is to water body directive breeding beneficial algae mushroom nutritional agents and preparation method thereof,2,0.45454824,CN,20190405
CN-111528082-A,Method for removing attached foreign algae in cultivation process of sargassum fusiforme,2,0.46495867,CN,20200814
CN-217202664-U,Little algae immobilization is cultivateed and is used novel leading wheel,3,0.3771651,CN,20220816
CN-113735265-A,Method for treating phosphorus-containing wastewater,2,0.58778465,CN,20211203
CN-120137577-A,Solvent-free two-component polyurethane adhesives,0,0.2949484,CN,20250613
CN-203301999-U,Device for picking seaweed from culture rope,3,0.37373334,CN,20131127
CN-106396494-A,Self-cleaning water permeable brick containing seaweed mud and preparation method thereof,2,0.43210673,CN,20170215
CN-111514094-A,Essence and preparation method thereof,5,0.20885193,CN,20200811
CN-102703299-A,Outdoor heat-insulating incubator,3,0.36976343,CN,20121003
CN-103045479-A,Method for rapidly collecting algae by magnetic flocculation nanoparticles and application of method,2,0.54051197,CN,20130417
CN-103947731-A,DHA (docosahexaenoic acid) cheese sandwich biscuit and preparation method thereof,1,0.14899741,CN,20140730
CN-209974782-U,Be used for desert algae cell high density heterotrophic culture fermentation cylinder,3,0.52485836,CN,20200121
CN-120758355-A,Method for removing protozoa in chlorella seed-retaining bottle,2,0.49860597,CN,20251010
CN-204874506-U,Utilize microbubble to last gather little algae farming systems in runway pond of frustule of air supporting,2,0.616505,CN,20151216
CN-118891994-B,Cultivation wastewater coupling utilization method based on coastal low-lying saline-alkali soil treatment,2,0.49288344,CN,20241213
CN-110846211-B,Method and device for culturing microalgae attached to wall by mobile mechanical stirring thin liquid layer,6,0.5893157,CN,20230929
CN-110964641-B,Brine alga culture method for controlling phytoplankton,3,0.584115,CN,20230512
CN-111235022-A,Microalgae carbon sequestration and energy utilization system and method for supercritical water treatment,2,0.6481538,CN,20200605
CN-111440728-A,Method for inhibiting growth of phaeodactylum tricornutum cells,3,0.5247341,CN,20200724
CN-102978196-A,Method for extracting total RNA (Ribose Nucleic Acid) and total protein of rotifer,0,0.47698385,CN,20130320
CN-103952359-A,Brevundimonas sp. and application thereof,3,0.41655463,CN,20140730
CN-105505810-A,Microbe composition and use thereof,2,0.563686,CN,20160420
CN-103058380-B,Method and device for controlling etching waste liquid with low copper content by using algae,2,0.48864475,CN,20140219
CN-103396951-B,Method for cultivating haematococcus pluvialis in large scale and producing natural astaxanthin seasoning packet by haematococcus pluvialis,6,0.48343217,CN,20150325
CN-104323976-B,Preparation method of composition with skin tightening effect,6,0.26970795,CN,20170111
CN-105602850-A,Desert biodiesel producing microalgae large-scale semi-continuous culturing method,5,0.7729994,CN,20160525
CN-102976832-A,Fishery microelement fertilizer and preparation method thereof,3,0.45701605,CN,20130320
CN-106591281-A,Mutation breeding method of high-lipid-yield chlamydomonas reinhardtii,3,0.5788724,CN,20170426
CN-107522756-A,A kind of preparation method of single sulfonation Lewis trisaccharides,2,0.33462262,CN,20171229
CN-108641909-A,A kind of microalgae sterile culture device and cultural method suitable for mixotrophic cultivation,3,0.5774747,CN,20181012
CN-103333235-A,Preparation method of selenium-enriched Pinctada martensii protein,6,0.3965481,CN,20131002
CN-217838981-U,Novel little algae is cultivated device,3,0.49167338,CN,20221118
CN-120097520-A,Pollution-reducing and carbon-reducing method for rare earth ammonia nitrogen wastewater by utilizing microalgae closed reaction,2,0.6737282,CN,20250606
CN-120323370-A,Automatic shellfish larva identifying and feeding cultivation system and cultivation method thereof,3,0.43233198,CN,20250718
CN-111349544-A,Algae aeration culture device,3,0.46620825,CN,20200630
CN-113773963-A,High-density high-yield porphyridium culture method,6,0.52570593,CN,20211210
CN-113925058-A,Mixed acid treatment solution for removing sessile green algae on porphyra yezoensis cultivation raft and method for removing green algae by using mixed acid treatment solution,2,0.49387002,CN,20220114
CN-114014320-A,Method for preparing carbon-silicon composite material by using algae biomass and application of carbon-silicon composite material in lithium ion battery,3,0.37191904,CN,20220208
CN-114097833-A,Compound pesticide and method for removing harmful fleas in marine microalgae culture process,6,0.3930096,CN,20220301
CN-117987271-A,"Green algae from marine coral, and separation, identification and application thereof",3,0.45609725,CN,20240507
CN-118062844-A,Fe (Fe)2(SO4)3Preparation method and application of blue algae wall-breaking organic material loaded by activated biomass charcoal together with KOH,2,0.49923325,CN,20240524
CN-102106285-A,Kishinouyea pond three-harvest raising technology,6,0.3606718,CN,20110629
CN-105176826-A,Method for harvesting microalgae through alkalescence flocculation-foam separation and separation device,6,0.60642004,CN,20151223
CN-105176827-A,Method for harvesting dunaliella salina by using waste spirulina culture liquid,6,0.44268173,CN,20151223
CN-113564087-A,Biological algaecide and preparation method and application thereof,2,0.49566266,CN,20211029
CN-114292754-A,"Marine diatom culture solution, culture method and preparation method of domoic acid",2,0.3770209,CN,20220408
CN-103540556-B,Streptomyces lavendulae and application of Streptomyces lavendulae to preparation of algae microbial fertilizer,3,0.5140864,CN,20150415
CN-103897979-B,The duct type bioreactor of a kind of built-in circulating temperature control system,2,0.52728,CN,20160601
CN-120442405-A,"Microalgae cultivation, harvesting and energy utilization process and system",0,0.7259618,CN,20250808
CN-204281721-U,A kind of algal cultivation and biofuel extract integrated apparatus,3,0.55543435,CN,20150422
CN-102356770-B,Aeromonas algicide and application thereof to removal of cyanobacterial bloom,2,0.34640813,CN,20130717
CN-104429889-A,Alga brick composite putting-in structure,3,0.29550818,CN,20150325
CN-104724833-A,Method for killing blue-green algae to purify water,2,0.42117274,CN,20150624
CN-105130679-A,Efficient large-water-surface fishing bacteria-algae balancing bio-fertilizer,2,0.56532454,CN,20151209
CN-206232727-U,Microalgae cultivation equipment,3,0.5246866,CN,20170609
CN-112790102-A,Treatment method for promoting efficient accumulation of brown algae polyphenols in sargassum muticum,2,0.5082983,CN,20210514
CN-103103126-A,Production method for lipid through coupled culture of microbes,6,0.635333,CN,20130515
CN-108192889-A,A kind of method of bacteria cellulose immobilized microalgae processing waste water,2,0.6703812,CN,20180622
CN-115927115-B,Novel photosynthetic nitrogen-fixing rhodobacter sphaeroides species and application thereof,3,0.37584448,CN,20250318
CN-222362091-U,Microalgae biomass quick cracking reactor,1,0.55053055,CN,20250117
CN-222969853-U,Microfluidic device capable of being cultured by illumination,3,0.42021808,CN,20250613
CN-223429025-U,Coarse marking equipment for outdoor pond mixed culture of holothuria nobilis seedlings,3,0.32839167,CN,20251014
CN-115895942-B,Strain with algae inhibiting activity and screening and identifying method and application thereof,2,0.46486968,CN,20240830
CN-118240786-A,"Clinopodium tetrazoinum urate oxidase, mutant and application thereof",3,0.43916178,CN,20240625
CN-118370252-A,Method for intercropping macrobrachium rosenbergii,3,0.45426297,CN,20240723
CN-101731159-A,"Mode of purifying, fostering and fattening clams in pond",2,0.4576385,CN,20100616
CN-218403862-U,Algae fungus coculture effluent treatment plant,2,0.46291316,CN,20230131
CN-218811698-U,Combined algae culture device,3,0.5342213,CN,20230407
CN-105746423-A,Monitor for floating algae on water surface of fish culture pond,2,0.3382518,CN,20160713
CN-108048327-A,A kind of new method for efficiently separating diatom,2,0.524012,CN,20180518
CN-109368801-A,A method of the light based on microalgae helps Fenton-like system to handle organic pollutants in water body,2,0.5586959,CN,20190222
CN-109456855-A,A kind of environment protection clean type greasy dirt detergent and preparation method thereof,2,0.26443583,CN,20190312
CN-105967874-A,Long-acting substrate for indoor cultivation of scindapsus aureus and preparation method thereof,6,0.40098283,CN,20160928
CN-107867887-A,A kind of pearl mushroom culture medium,0,0.44366086,CN,20180403
CN-108700515-A,The monitoring device of microalgae and the monitoring method of microalgae,6,0.48430094,CN,20181023
CN-106638087-B,A kind of natural high-crystallinity plant cellulose and preparation method thereof,0,0.5146263,CN,20180914
CN-106190850-B,The cultural method of high fat content microalgae body,6,0.5188292,CN,20190924
CN-115669582-A,Method for cultivating oyster larvae,3,0.3813634,CN,20230203
CN-116121058-A,Biological membrane device and method for resource production of microalgae and application of biological membrane device and method,6,0.59915483,CN,20230516
CN-115957816-B,"Preparation method of floating photocatalyst, and obtained product and application thereof",2,0.45293382,CN,20241129
CN-105713950-B,A method of microalgae grease is produced using flue gas,6,0.6714802,CN,20190611
CN-105850708-A,Lift type shellfish and algae culture raft,3,0.42713487,CN,20160817
CN-106434477-A,Nostoc sphaeroides heterocyst embedded suspension breeding method,3,0.47122407,CN,20170222
CN-119979331-A,Moon-shaped four-chain algae Tetradesmus lagerheimii and application thereof,3,0.6106323,CN,20250513
CN-206444382-U,A kind of electrostatic bag-type dust collector,2,0.21298471,CN,20170829
CN-116924570-A,Attached microalgae culture system for purifying tail water,3,0.5869737,CN,20231024
CN-117084159-A,Device for indoor planting of seaweed flowers,3,0.3552485,CN,20231121
CN-119410342-B,Microalgae-SiO2Preparation method of bio-based nano-fluid dust suppressant,2,0.570635,CN,20250919
CN-106106295-B,A kind of fugu obscurus marketable fish stereo ecological cultural method,3,0.31668612,CN,20191011
CN-208234900-U,A kind of microalgae culturing device adopting based on double glass solar panels,1,0.4257092,CN,20181214
CN-213555516-U,Red ball algae precipitation tank is given birth to rain,2,0.38193706,CN,20210629
CN-105503451-A,Production method for achieving cooperative production of major element and microelement type liquid water soluble fertilizer through seaweed extracts,3,0.5130256,CN,20160420
CN-105942504-A,"Food supplement for preventing and treating hypertension, hyperglycemia and hyperlipidemia by balancing body-fluid degrees of acidity and alkalinity",6,0.2999433,CN,20160921
CN-102408982-A,Photo-bioreactor,2,0.42640662,CN,20120411
CN-104556406-A,Method for efficient in-situ remediation of lake wastewater by utilizing microorganisms and chlorella,2,0.6081221,CN,20150429
CN-102746993-B,Biological recovery method of microalgae,2,0.5816473,CN,20141126
CN-103773691-B,A kind of method of closed fast culture microalgae,6,0.69089174,CN,20161026
CN-113317358-A,Kiwi fruit fresh-keeping treatment method,3,0.43554616,CN,20210831
CN-114477459-A,Method for reducing antibiotic resistance genes in aquaculture wastewater,2,0.5669315,CN,20220513
CN-206486349-U,A kind of biological device of emergency processing blue-green alga bloom,2,0.5201857,CN,20170912
CN-119422866-A,Cultivation equipment for seaweed,3,0.40894938,CN,20250214
CN-120584976-A,Preparation method of microalgae bait,6,0.59097815,CN,20250905
CN-201420080-Y,Sealed microalgae industry photosynthesis cultivating device,6,0.6043279,CN,20100310
CN-106282047-A,There is the screening technique of the Azotica of bio-fertilizer application potential,2,0.46045718,CN,20170104
CN-106680249-A,Flow-through type online microalgae chlorophyll fluorescence measurement module,2,0.4066844,CN,20170517
CN-110604234-A,Application of Chlorella sorokiniana in functional feed for improving health condition of fishes,6,0.47663292,CN,20191224
